project#,district,location,latitude,longitude,project_title
18,Toledo,Aguacate,16.16185645,-89.0915777,Strengthening community agroforestry through cooperatives for resilient livelihoods
19,Toledo,Sunday Wood,16.04051354,-89.0288338,"Agroforestry, sustainable forestry, and reforestation in watersheds in the Toledo District"
19,Toledo,Santa Teresa,16.13546288,-89.05422313,"Agroforestry, sustainable forestry, and reforestation in watersheds in the Toledo District"
19,Toledo,Conejo,0,0,"Agroforestry, sustainable forestry, and reforestation in watersheds in the Toledo District"
19,Toledo,Crique Sarco,15.9844197,-89.10560593,"Agroforestry, sustainable forestry, and reforestation in watersheds in the Toledo District"
19,Toledo,Graham Creek,15.93112482,-89.12730373,"Agroforestry, sustainable forestry, and reforestation in watersheds in the Toledo District"
20,Belize,Mahogany Heights,17.33854654,-88.56731212,"Climate Adaptation and Protected Areas (CAPA) Initiative: Regeneration of
degraded areas in the Maya Forest Corridor by planting native trees and opening
firebreaks"
20,Belize,La Democracia,17.34025679,-88.56627188,"Climate Adaptation and Protected Areas (CAPA) Initiative: Regeneration of
degraded areas in the Maya Forest Corridor by planting native trees and opening
firebreaks"
20,Belize,Hattieville,17.45003658,-88.39630669,"Climate Adaptation and Protected Areas (CAPA) Initiative: Regeneration of
degraded areas in the Maya Forest Corridor by planting native trees and opening
firebreaks"
20,Belize,Gracie Rock,0,0,"Climate Adaptation and Protected Areas (CAPA) Initiative: Regeneration of
degraded areas in the Maya Forest Corridor by planting native trees and opening
firebreaks"
20,Belize,Bermudian Landing,17.55602617,-88.53392583,"Climate Adaptation and Protected Areas (CAPA) Initiative: Regeneration of
degraded areas in the Maya Forest Corridor by planting native trees and opening
firebreaks"
20,Belize,Scotland Halfmoon,17.57066633,-88.50680242,"Climate Adaptation and Protected Areas (CAPA) Initiative: Regeneration of
degraded areas in the Maya Forest Corridor by planting native trees and opening
firebreaks"
20,Belize,Double Head Cabbage,17.54888362,-88.55888903,"Climate Adaptation and Protected Areas (CAPA) Initiative: Regeneration of
degraded areas in the Maya Forest Corridor by planting native trees and opening
firebreaks"
20,Belize,Willows Bank,17.53046143,-88.57301183,"Climate Adaptation and Protected Areas (CAPA) Initiative: Regeneration of
degraded areas in the Maya Forest Corridor by planting native trees and opening
firebreaks"
20,Belize,St. Paul's bank,0,0,"Climate Adaptation and Protected Areas (CAPA) Initiative: Regeneration of
degraded areas in the Maya Forest Corridor by planting native trees and opening
firebreaks"
20,Belize,Rancho Dolores,17.53766581,-88.62817696,"Climate Adaptation and Protected Areas (CAPA) Initiative: Regeneration of
degraded areas in the Maya Forest Corridor by planting native trees and opening
firebreaks"
20,Cayo,Cotton Tree,17.27677793,-88.71240022,"Climate Adaptation and Protected Areas (CAPA) Initiative: Regeneration of
degraded areas in the Maya Forest Corridor by planting native trees and opening
firebreaks"
20,Cayo,Franks Eddy,17.25551884,-88.63429304,"Climate Adaptation and Protected Areas (CAPA) Initiative: Regeneration of
degraded areas in the Maya Forest Corridor by planting native trees and opening
firebreaks"
21,Belize,St. Paul's bank,0,0,"CAPA Initiative: Climate-smart agriculture practices and agroforestry systems in the
Belize River Valley"
21,Belize,Willows Bank,17.53046143,-88.57301183,"CAPA Initiative: Climate-smart agriculture practices and agroforestry systems in the
Belize River Valley"
21,Belize,Isabella Bank,17.57919206,-88.53853713,"CAPA Initiative: Climate-smart agriculture practices and agroforestry systems in the
Belize River Valley"
21,Belize,Lucky Strike,17.77507829,-88.3155455,"CAPA Initiative: Climate-smart agriculture practices and agroforestry systems in the
Belize River Valley"
22,Corozal,Sarteneja,18.354729,-88.143997,CAPA Initiative: Supplementary livelihoods for coastal communities
22,Belize,Belize City,17.50639658,-88.21412846,CAPA Initiative: Supplementary livelihoods for coastal communities
22,Stann Creek,Dangriga,16.960212,-88.221011,CAPA Initiative: Supplementary livelihoods for coastal communities
22,Stann Creek,Hopkins,16.853291,-88.282704,CAPA Initiative: Supplementary livelihoods for coastal communities
22,Stann Creek,Riversdale,16.6893396,-88.3109199,CAPA Initiative: Supplementary livelihoods for coastal communities
22,Stann Creek,Seine Bight,16.578164,-88.365891,"CAPA Initiative: Experimental treatment plots for Stony Coral Tissue Loss Disease
(SCTLD) in marine reserves"
